No_Siri;No_Pendaftaran_SSM;Nama_Pendaftaran;Nama_Perniagaan;Negeri;Kod_Industri;BBU__SBU;Pegawai;Penyelia;Pegawai_Kerja_Luar;Siri_Kekerapan;Tahun_Rujukan;Status_Respon;Status_Rekod;Cara_Terima;Tarikh_Terima;Bilangan_Pekerja;Gaji_dan_Upah_RM;Nilai_Jualan_RM;Jumlah_pendapatan;Jumlah_Perbelanjaan_RM;Jumlah_Harta__AsetRM;Stok_Akhir_RM;Catatan
A317;SSM317;SYARIKAT A317;;JOHOR;47734;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A318;SSM318;SYARIKAT A318;;JOHOR;47736;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A319;SSM319;SYARIKAT A319;;JOHOR;45102;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;2;0;;297726;253422;1;;
A320;SSM320;SYARIKAT A320;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A321;SSM321;SYARIKAT A321;;JOHOR;46311;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A322;SSM322;SYARIKAT A322;;JOHOR;47214;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/08/2019;4;41014;;629907;545407;10316;90722;
A323;SSM323;SYARIKAT A323;;JOHOR;47411;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A324;SSM324;SYARIKAT A324;;JOHOR;47612;SBU;Boss;Ketua;Amoi;;2018;40-Telah tutup;Selesai;Kerja Luar;17/07/2019;;;;;;;;
A325;SSM325;SYARIKAT A325;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;25/06/2019;22;247200;;4270085;2499606;327509;27926;
A326;SSM326;SYARIKAT A326;;JOHOR;47520;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A327;SSM327;SYARIKAT A327;;JOHOR;46202;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A328;SSM328;SYARIKAT A328;;JOHOR;47739;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/08/2019;5;73728;;1492214;1363561;7399;63635;
A329;SSM329;SYARIKAT A329;;JOHOR;46632;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;01/07/2019;4;29876;;237559;187172;14654;6713;
A330;SSM330;SYARIKAT A330;;JOHOR;47219;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;17/06/2019;2;12960;;732672;600896;14078;123288;
A331;SSM331;SYARIKAT A331;;JOHOR;47300;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A332;SSM332;SYARIKAT A332;;JOHOR;47111;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A333;SSM333;SYARIKAT A333;;JOHOR;47300;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;10/06/2019;;;;;;;;
A334;SSM334;SYARIKAT A334;;JOHOR;46433;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A335;SSM335;SYARIKAT A335;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A336;SSM336;SYARIKAT A336;;JOHOR;47413;BBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/05/2019;14;172613;;51486904;51394460;122902;437121;
A337;SSM337;SYARIKAT A337;;JOHOR;47731;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;22/08/2019;2;16800;;144233;106197;3431;8947;
A338;SSM338;SYARIKAT A338;;JOHOR;47739;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A339;SSM339;SYARIKAT A339;;JOHOR;47735;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A340;SSM340;SYARIKAT A340;;JOHOR;47300;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;03/07/2019;;;;;;;;
A341;SSM341;SYARIKAT A341;;JOHOR;47211;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;14/05/2019;2;0;;114578;68506;19837;2604;
A342;SSM342;SYARIKAT A342;;JOHOR;46311;BBU;Boss;Ketua;Amoi;;2018;50-Salah Penyiasatan;Selesai;Kerja Luar;07/03/2019;1;0;;0;0;1;0;
A343;SSM343;SYARIKAT A343;;JOHOR;46204;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A344;SSM344;SYARIKAT A344;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;09/06/2019;3;13200;;364373;338353;15490;5511;
A345;SSM345;SYARIKAT A345;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;12/08/2019;2;12511;;413552;385263;75937;13584;
A346;SSM346;SYARIKAT A346;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;13/05/2019;1;0;;149536;131044;3074;3093;
A347;SSM347;SYARIKAT A347;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A348;SSM348;SYARIKAT A348;;JOHOR;47300;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A349;SSM349;SYARIKAT A349;;JOHOR;46204;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;1;0;;58698;43402;23609;3152;
A350;SSM350;SYARIKAT A350;;JOHOR;47999;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A351;SSM351;SYARIKAT A351;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/05/2019;4;46194;;1435390;1145269;98492;13176;
A352;SSM352;SYARIKAT A352;;JOHOR;47721;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A353;SSM353;SYARIKAT A353;;JOHOR;47411;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/08/2019;3;48885;;203460;190901;5585;8688;
A354;SSM354;SYARIKAT A354;;JOHOR;47733;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A355;SSM355;SYARIKAT A355;;JOHOR;47635;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A356;SSM356;SYARIKAT A356;;JOHOR;47999;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;03/07/2019;;;;;;;;
A357;SSM357;SYARIKAT A357;;JOHOR;46632;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;25/06/2019;4;43514;;482643;455176;190840;91461;
A358;SSM358;SYARIKAT A358;;JOHOR;46201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;15/05/2019;3;64547;;2364555;2362247;155988;216094;
A359;SSM359;SYARIKAT A359;;JOHOR;45402;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/06/2019;3;53300;;414166;569827;287217;763599;
A360;SSM360;SYARIKAT A360;;JOHOR;46201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;01/07/2019;;;;;;;;
A361;SSM361;SYARIKAT A361;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/06/2019;6;107779;;858717;622037;433177;89247;
A362;SSM362;SYARIKAT A362;;JOHOR;47612;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A363;SSM363;SYARIKAT A363;;JOHOR;47635;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A364;SSM364;SYARIKAT A364;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A365;SSM365;SYARIKAT A365;;JOHOR;46419;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A366;SSM366;SYARIKAT A366;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/05/2019;4;27600;;1140235;954322;10935;9025;
A367;SSM367;SYARIKAT A367;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A368;SSM368;SYARIKAT A368;;JOHOR;45401;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/05/2019;7;127163;;3879432;3692533;175176;428324;
A369;SSM369;SYARIKAT A369;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A370;SSM370;SYARIKAT A370;;JOHOR;47591;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/08/2019;3;36252;;2358737;1908850;57327;120390;
A371;SSM371;SYARIKAT A371;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/08/2019;1;0;;289609;203717;10180;1203;
A372;SSM372;SYARIKAT A372;;JOHOR;47520;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;14/08/2019;5;64800;;613702;522078;7462;79063;
A373;SSM373;SYARIKAT A373;;JOHOR;46497;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A374;SSM374;SYARIKAT A374;;JOHOR;47810;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/05/2019;2;0;;172971;132318;52650;8062;
A375;SSM375;SYARIKAT A375;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A376;SSM376;SYARIKAT A376;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;04/06/2019;2;18000;;113383;111114;6719;2359;
A377;SSM377;SYARIKAT A377;;JOHOR;46202;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A378;SSM378;SYARIKAT A378;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Semakan SMD;Kerja Luar;14/08/2019;3;43778;;372433;302392;4379;56950;
A379;SSM379;SYARIKAT A379;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Semakan SMD;Kerja Luar;22/08/2019;3;22250;;654028;592503;119168;116631;
A380;SSM380;SYARIKAT A380;;JOHOR;47999;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;2;0;;271098;230756;1;;
A381;SSM381;SYARIKAT A381;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;01/07/2019;4;64800;;965240;790334;4050;7460;
A382;SSM382;SYARIKAT A382;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;7;193077;;1663004;1594499;7649;30152;
A383;SSM383;SYARIKAT A383;;JOHOR;47721;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A384;SSM384;SYARIKAT A384;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;65087;55402;1;;
A385;SSM385;SYARIKAT A385;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A386;SSM386;SYARIKAT A386;;JOHOR;45403;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A387;SSM387;SYARIKAT A387;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/08/2019;1;0;;587242;447204;14175;5025;
A388;SSM388;SYARIKAT A388;;JOHOR;45401;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;5;81662;;940795;0;1;;
A389;SSM389;SYARIKAT A389;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;1;0;;36548;29223;45000;2306;
A390;SSM390;SYARIKAT A390;;JOHOR;47520;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;03/07/2019;7;100800;;1556506;1499373;138171;90377;
A391;SSM391;SYARIKAT A391;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;25/08/2019;3;17439;;310491;302869;152818;20662;
A392;SSM392;SYARIKAT A392;;JOHOR;47300;BBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/08/2019;11;188760;;10224973;7907736;2833;80147;
A393;SSM393;SYARIKAT A393;;JOHOR;46434;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/08/2019;5;96642;;1301349;1134232;21240;149747;
A394;SSM394;SYARIKAT A394;;JOHOR;46692;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A395;SSM395;SYARIKAT A395;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;14/05/2019;4;15853;;616759;452769;13599;5464;
A396;SSM396;SYARIKAT A396;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;01/07/2019;2;0;;1387665;929674;2173;81186;
A397;SSM397;SYARIKAT A397;;JOHOR;47731;SBU;Boss;Ketua;Amoi;;2018;31-Tidak menjalankan perusahaan;Selesai;Kerja Luar;11/07/2019;;;;;;;;
A398;SSM398;SYARIKAT A398;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A399;SSM399;SYARIKAT A399;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A400;SSM400;SYARIKAT A400;;JOHOR;47810;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/07/2019;1;0;;725096;547433;1004;5918;
A401;SSM401;SYARIKAT A401;;JOHOR;46204;BBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/06/2019;22;745332;;19857632;19010711;768435;660429;
A402;SSM402;SYARIKAT A402;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;11/07/2019;8;191727;;1360166;1408959;362156;91238;
A403;SSM403;SYARIKAT A403;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/05/2019;2;0;;142245;123717;9112;5782;
A404;SSM404;SYARIKAT A404;;JOHOR;47593;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/07/2019;5;57011;;1621360;1564636;286489;393382;
A405;SSM405;SYARIKAT A405;;JOHOR;46201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A406;SSM406;SYARIKAT A406;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A407;SSM407;SYARIKAT A407;;JOHOR;45401;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A408;SSM408;SYARIKAT A408;;JOHOR;47721;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;3;39886;;137481;110789;8961;0;
A409;SSM409;SYARIKAT A409;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;31-Tidak menjalankan perusahaan;Selesai;Kerja Luar;15/05/2019;;;;;;;;
A410;SSM410;SYARIKAT A410;;JOHOR;47520;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A411;SSM411;SYARIKAT A411;;JOHOR;47737;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;01/07/2019;;;;;;;;
A412;SSM412;SYARIKAT A412;;JOHOR;47420;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;21/05/2019;;;;;;;;
A413;SSM413;SYARIKAT A413;;JOHOR;46311;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A414;SSM414;SYARIKAT A414;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/07/2019;6;55040;;1024100;962461;450000;70000;
A415;SSM415;SYARIKAT A415;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A416;SSM416;SYARIKAT A416;;JOHOR;46205;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A417;SSM417;SYARIKAT A417;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;2;17825;;295147;227199;8674;14229;
A418;SSM418;SYARIKAT A418;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A419;SSM419;SYARIKAT A419;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A420;SSM420;SYARIKAT A420;;JOHOR;47722;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A421;SSM421;SYARIKAT A421;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;17/06/2019;8;96496;;3722984;2976651;23413;71374;
A422;SSM422;SYARIKAT A422;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;23/05/2019;4;30000;;857711;714950;63128;74562;
A423;SSM423;SYARIKAT A423;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;24/04/2019;4;54000;;1932528;1373565;6075;40094;
A424;SSM424;SYARIKAT A424;;JOHOR;47733;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;17/05/2019;4;59786;;1015830;930938;1941;343726;
A425;SSM425;SYARIKAT A425;;JOHOR;47999;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/08/2019;1;0;;242315;182734;2101;19274;
A426;SSM426;SYARIKAT A426;;JOHOR;47520;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A427;SSM427;SYARIKAT A427;;JOHOR;47211;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;26/06/2019;1;0;;80448;51785;4737;2824;
A428;SSM428;SYARIKAT A428;;JOHOR;47300;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A429;SSM429;SYARIKAT A429;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A430;SSM430;SYARIKAT A430;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;17/06/2019;5;52800;;2135007;1476012;29085;79283;
A431;SSM431;SYARIKAT A431;;JOHOR;47420;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;25/07/2019;3;50654;;346883;250317;155429;49111;
A432;SSM432;SYARIKAT A432;;JOHOR;46202;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A433;SSM433;SYARIKAT A433;;JOHOR;47520;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A434;SSM434;SYARIKAT A434;;JOHOR;47810;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/05/2019;2;0;;217467;174858;30375;10708;
A435;SSM435;SYARIKAT A435;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;06/07/2019;2;0;;897603;665508;127313;109664;
A436;SSM436;SYARIKAT A436;;JOHOR;47420;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A437;SSM437;SYARIKAT A437;;JOHOR;47733;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;31/07/2019;4;92818;;759706;735726;3199;28144;
A438;SSM438;SYARIKAT A438;;JOHOR;47735;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A439;SSM439;SYARIKAT A439;;JOHOR;47591;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;03/07/2019;3;28328;;126839;79716;61761;1871;
A440;SSM440;SYARIKAT A440;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;40-Telah tutup;Selesai;Kerja Luar;03/07/2019;0;0;;0;0;0;0;
